id,nama,alamat,kecamatan,kelurahan,jenis_fasilitas,kapasitas,latitude,longitude
1,TPA Benowo,,Kec. Benowo,Kel. Romokalisari,TPA,,-7.21993146432282,112.63167048937744
2,TPS Taman Ketampon,Jl. Taman Ketampon,Kec. Wonokromo,Kel. Darmo,TPS,23,-7.287736009380877,112.73711704588268
3,TPS Karangpoh,Jl. Darmo Indah Barat II,Kec. Tandes,Kel. Karangpoh,TPS,14,-7.2631966853862115,112.67992459237473
4,TPS Balongsari,Jl. Balongsari,Kec. Tandes,Kel. Balongsari,TPS,14,-7.259462112325313,112.67854546092927
5,TPS Manukan Kulon,Jl. Manukan Kulon,Kec. Tandes,Kel. Manukan Kulon,TPS,28,-7.260216786008858,112.66207472832808
6,TPS Manukan Telaga,Jl. Manukan Peni VII,Kec. Tandes,Kel. Manukan Wetan,TPS,14,-7.26092338975618,112.66924255454796
7,TPS Buntaran,Jl. Buntaran,Kec. Tandes,Kel. Manukan Wetan,TPS,14,-7.253120782948116,112.67307828834323
8,TPS Griya Citra Asri,Jl. Perum Griya Citra Asri,Kec. Benowo,Kel. Kandangan,TPS,8,-7.253655021147234,112.64809762563759
9,TPS Tengger,Jl. Tengger Raya,Kec. Tandes,Kel. Banjar Sugihan,TPS,14,-7.2600580709389835,112.65237686739538
10,TPS Kandangan,Jl. Kandangan,Kec. Benowo,Kel. Kandangan,TPS,14,-7.257403959969216,112.65659982510978
11,TPS Kendung Makam,Jl. Sememi,Kec. Sememi,Kel. Sememi,TPS,14,-7.247758064892116,112.6353901445833
12,TPS Kendung BDH,Jl. Raya Kendung,Kec. Sememi,Kel. Sememi,TPS,19.8,-7.256421195955376,112.63493288308274
13,TPS Bandarejo Sememi,Jl. Bandarejo Pasar Sememi,Kec. Benowo,Kel. Sememi,TPS,14,-7.251514912515821,112.6455042404293
14,TPS Rusunawa Romokalisari,Jl. Rusunawa Romokalisari,Kec. Benowo,Kel. Romokalisari,TPS,14,-7.199273102632389,112.66270161727469
15,TPS Babat Jerawat,Jl. Dukuh Jerawat,Kec. Benowo,Kel. Babat Jerawat,TPS,14,-7.242738648151786,112.62936755254508
16,TPS Langkir,Jl. Sendang Bulu,Kec. Benowo,Kel. Babat Jerawat,TPS,14,-7.256735009835736,112.62603504752195
17,TPS Pondok Benowo Indah,Perum Pondok Benowo Indah,Kec. Pakal,Kel. Babat Jerawat,TPS,14,-7.240300874625132,112.62866255762248
18,TPS Pasar Benowo,Jl. Raya Benowo,Kec. Pakal,Kel. Benowo,TPS,14,-7.231963254896862,112.61274550493748
19,TPS Benowo Krajan,jl. benowo krajan,Kec. Pakal,Kel. Benowo,TPS,14,-7.236226160398841,112.61159498244513
20,TPS JURANG KUPING,JL. JURANG INDAH,Kec. Pakal,Kel. Pakal,TPS,14,-7.2409427671337765,112.60665623947621
21,TPS PAKAL TIMUR,JL. PAKAL SUMBERAN,Kec. Pakal,Kel. Pakal,TPS,8,-7.238539580773719,112.62175593286683
22,TPS PAKAL MADYA,JL. PAKAL MADYA,Kec. Pakal,Kel. Pakal,TPS,8,-7.243228432642479,112.61685987288396
23,TPS ALAS MALANG,JL. ALAS MALANG,Kec. Sambikerep,Kel. Bringin,TPS,14,-7.2619772736923665,112.64306935564886
